# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/Mbovis_GO_terms.dat GSEA_files/GO_term_names.dat output/gsea_fet.txt -M FET -Pval_col 10 -Qval_col 11
# date: 2023-08-16 09:17:52
# pathway method: FET
# method=FET, PC=2
# genes with associations=3121 out of 4045 total
# significant genes (qval<0.05): 11
# 2474 out of 47127 pathways have >=1 gene; max has 2412
#pathway	total_genes(M)	genes_in_path(n)	significant_genes(N)	signif_genes_in_path(k)	expected	k+PC	n_adj_by_PC	enrichement	pval	qval	description	genes
GO:0036094	4045	602	11	3	1.64	5	1337	1.374	0.11761187572612582	0.39439262473687786	small molecule binding	MB1363/glgP MB1383/irta MB3080c/NA
GO:0043167	4045	944	11	4	2.57	6	1679	1.313	0.11870352055469865	0.39439262473687786	ion binding	MB1363/glgP MB1383/irta MB2497/glbO MB3080c/NA
GO:0004359	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	glutaminase activity	MB2636c/snop
GO:0004645	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	phosphorylase activity	MB1363/glgP
GO:0015343	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	siderophore transmembrane transporter activity	MB1383/irta
GO:0015682	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	ferric iron transport	MB1383/irta
GO:0016843	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	amine-lyase activity	MB2636c/snop
GO:0033216	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	ferric iron import	MB1383/irta
GO:0036381	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity	MB2636c/snop
GO:0044002	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	acquisition of nutrients from host	MB1383/irta
GO:0044718	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	siderophore transmembrane transport	MB1383/irta
GO:0051184	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	cofactor transmembrane transporter activity	MB1383/irta
GO:0051816	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	acquisition of nutrients from other organism during symbiotic interaction	MB1383/irta
GO:0052099	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	acquisition by symbiont of nutrients from host via siderophores	MB1383/irta
GO:0072512	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	trivalent inorganic cation transport	MB1383/irta
GO:0097286	4045	2	11	1	0.01	3	737	1.493	0.1237189954296603	0.39439262473687786	iron ion import	MB1383/irta
GO:0005344	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	oxygen carrier activity	MB2497/glbO
GO:0008614	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	pyridoxine metabolic process	MB2636c/snop
GO:0015669	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	gas transport	MB2497/glbO
GO:0015671	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	oxygen transport	MB2497/glbO
GO:0015688	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	iron chelate transport	MB1383/irta
GO:0015891	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	siderophore transport	MB1383/irta
GO:0042822	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	pyridoxal phosphate metabolic process	MB2636c/snop
GO:0042823	4045	3	11	1	0.01	3	738	1.493	0.12420237994403575	0.39439262473687786	pyridoxal phosphate biosynthetic process	MB2636c/snop
GO:0019825	4045	4	11	1	0.01	3	739	1.493	0.12468671008945392	0.39439262473687786	oxygen binding	MB2497/glbO
GO:0042819	4045	4	11	1	0.01	3	739	1.493	0.12468671008945392	0.39439262473687786	vitamin B6 biosynthetic process	MB2636c/snop
GO:0046184	4045	4	11	1	0.01	3	739	1.493	0.12468671008945392	0.39439262473687786	aldehyde biosynthetic process	MB2636c/snop
GO:0075139	4045	4	11	1	0.01	3	739	1.493	0.12468671008945392	0.39439262473687786	response to host iron concentration	MB1383/irta
GO:0006826	4045	5	11	1	0.01	3	740	1.493	0.1251719847241982	0.39439262473687786	iron ion transport	MB1383/irta
GO:0033212	4045	5	11	1	0.01	3	740	1.493	0.1251719847241982	0.39439262473687786	iron assimilation	MB1383/irta
GO:0033214	4045	5	11	1	0.01	3	740	1.493	0.1251719847241982	0.39439262473687786	iron assimilation by chelation and transport	MB1383/irta
GO:0042816	4045	5	11	1	0.01	3	740	1.493	0.1251719847241982	0.39439262473687786	vitamin B6 metabolic process	MB2636c/snop
GO:1901678	4045	5	11	1	0.01	3	740	1.493	0.1251719847241982	0.39439262473687786	iron coordination entity transport	MB1383/irta
GO:0051181	4045	6	11	1	0.02	3	741	1.485	0.12565820269975256	0.39439262473687786	cofactor transport	MB1383/irta
GO:0006875	4045	7	11	1	0.02	3	742	1.485	0.1261453628608219	0.39439262473687786	cellular metal ion homeostasis	MB1383/irta
GO:0006879	4045	7	11	1	0.02	3	742	1.485	0.1261453628608219	0.39439262473687786	cellular iron ion homeostasis	MB1383/irta
GO:0046916	4045	7	11	1	0.02	3	742	1.485	0.1261453628608219	0.39439262473687786	cellular transition metal ion homeostasis	MB1383/irta
GO:0055072	4045	7	11	1	0.02	3	742	1.485	0.1261453628608219	0.39439262473687786	iron ion homeostasis	MB1383/irta
GO:0016840	4045	8	11	1	0.02	3	743	1.485	0.1266334640453505	0.39439262473687786	carbon-nitrogen lyase activity	MB2636c/snop
GO:0030003	4045	8	11	1	0.02	3	743	1.485	0.1266334640453505	0.39439262473687786	cellular cation homeostasis	MB1383/irta
GO:0140104	4045	8	11	1	0.02	3	743	1.485	0.1266334640453505	0.39439262473687786	molecular carrier activity	MB2497/glbO
GO:0044283	4045	307	11	2	0.83	4	1042	1.413	0.12690457876303549	0.39439262473687786	small molecule biosynthetic process	MB1217c/fadD21 MB2636c/snop
GO:0097159	4045	968	11	4	2.63	6	1703	1.296	0.1270907473300975	0.39439262473687786	organic cyclic compound binding	MB1363/glgP MB1383/irta MB2497/glbO MB3080c/NA
GO:1901363	4045	968	11	4	2.63	6	1703	1.296	0.1270907473300975	0.39439262473687786	heterocyclic compound binding	MB1363/glgP MB1383/irta MB2497/glbO MB3080c/NA
GO:0000041	4045	9	11	1	0.02	3	744	1.485	0.12712250508454276	0.39439262473687786	transition metal ion transport	MB1383/irta
GO:0055065	4045	9	11	1	0.02	3	744	1.485	0.12712250508454276	0.39439262473687786	metal ion homeostasis	MB1383/irta
GO:0055076	4045	9	11	1	0.02	3	744	1.485	0.12712250508454276	0.39439262473687786	transition metal ion homeostasis	MB1383/irta
GO:0005977	4045	10	11	1	0.03	3	745	1.478	0.12761248480288184	0.39439262473687786	glycogen metabolic process	MB1363/glgP
GO:0006112	4045	10	11	1	0.03	3	745	1.478	0.12761248480288184	0.39439262473687786	energy reserve metabolic process	MB1363/glgP
GO:0006873	4045	10	11	1	0.03	3	745	1.478	0.12761248480288184	0.39439262473687786	cellular ion homeostasis	MB1383/irta
GO:0016646	4045	10	11	1	0.03	3	745	1.478	0.12761248480288184	0.39439262473687786	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	MB3080c/NA
GO:0055080	4045	10	11	1	0.03	3	745	1.478	0.12761248480288184	0.39439262473687786	cation homeostasis	MB1383/irta
GO:0016645	4045	11	11	1	0.03	3	746	1.478	0.12810340201814993	0.39439262473687786	oxidoreductase activity, acting on the CH-NH group of donors	MB3080c/NA
GO:0055082	4045	11	11	1	0.03	3	746	1.478	0.12810340201814993	0.39439262473687786	cellular chemical homeostasis	MB1383/irta
GO:0050801	4045	12	11	1	0.03	3	747	1.478	0.12859525554144785	0.39439262473687786	ion homeostasis	MB1383/irta
GO:0071949	4045	12	11	1	0.03	3	747	1.478	0.12859525554144785	0.39439262473687786	FAD binding	MB1383/irta
GO:0098771	4045	12	11	1	0.03	3	747	1.478	0.12859525554144785	0.39439262473687786	inorganic ion homeostasis	MB1383/irta
GO:0010106	4045	13	11	1	0.04	3	748	1.471	0.12908804417721456	0.39439262473687786	cellular response to iron ion starvation	MB1383/irta
GO:0048878	4045	13	11	1	0.04	3	748	1.471	0.12908804417721456	0.39439262473687786	chemical homeostasis	MB1383/irta
GO:0006073	4045	15	11	1	0.04	3	750	1.471	0.13007642197072097	0.39439262473687786	cellular glucan metabolic process	MB1363/glgP
GO:0010181	4045	15	11	1	0.04	3	750	1.471	0.13007642197072097	0.39439262473687786	FMN binding	MB3080c/NA
GO:0044042	4045	15	11	1	0.04	3	750	1.471	0.13007642197072097	0.39439262473687786	glucan metabolic process	MB1363/glgP
GO:0015893	4045	16	11	1	0.04	3	751	1.471	0.13057200870420838	0.39439262473687786	drug transport	MB2497/glbO
GO:0006541	4045	20	11	1	0.05	3	755	1.463	0.13256364595978032	0.39439262473687786	glutamine metabolic process	MB2636c/snop
GO:0030001	4045	21	11	1	0.06	3	756	1.456	0.133063871662237	0.39439262473687786	metal ion transport	MB1383/irta
GO:0015980	4045	23	11	1	0.06	3	758	1.456	0.13406709397381042	0.39439262473687786	energy derivation by oxidation of organic compounds	MB1363/glgP
GO:0070566	4045	25	11	1	0.07	3	760	1.449	0.13507400238816508	0.39439262473687786	adenylyltransferase activity	MB1217c/fadD21
GO:0016811	4045	28	11	1	0.08	3	763	1.442	0.1365912540743954	0.39439262473687786	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	MB2636c/snop
GO:0072525	4045	28	11	1	0.08	3	763	1.442	0.1365912540743954	0.39439262473687786	pyridine-containing compound biosynthetic process	MB2636c/snop
GO:0006081	4045	30	11	1	0.08	3	765	1.442	0.1376073328223473	0.39439262473687786	cellular aldehyde metabolic process	MB2636c/snop
GO:1901617	4045	30	11	1	0.08	3	765	1.442	0.1376073328223473	0.39439262473687786	organic hydroxy compound biosynthetic process	MB2636c/snop
GO:0009267	4045	32	11	1	0.09	3	767	1.435	0.13862706146761225	0.39439262473687786	cellular response to starvation	MB1383/irta
GO:0031669	4045	32	11	1	0.09	3	767	1.435	0.13862706146761225	0.39439262473687786	cellular response to nutrient levels	MB1383/irta
GO:0031667	4045	33	11	1	0.09	3	768	1.435	0.13913829120197133	0.39439262473687786	response to nutrient levels	MB1383/irta
GO:0042594	4045	33	11	1	0.09	3	768	1.435	0.13913829120197133	0.39439262473687786	response to starvation	MB1383/irta
GO:0016758	4045	35	11	1	0.1	3	770	1.429	0.14016347483993494	0.39439262473687786	transferase activity, transferring hexosyl groups	MB1363/glgP
GO:0020037	4045	35	11	1	0.1	3	770	1.429	0.14016347483993494	0.39439262473687786	heme binding	MB2497/glbO
GO:0042626	4045	38	11	1	0.1	3	773	1.429	0.14170804057113287	0.39439262473687786	ATPase activity, coupled to transmembrane movement of substances	MB1383/irta
GO:0043492	4045	38	11	1	0.1	3	773	1.429	0.14170804057113287	0.39439262473687786	ATPase activity, coupled to movement of substances	MB1383/irta
GO:0044264	4045	38	11	1	0.1	3	773	1.429	0.14170804057113287	0.39439262473687786	cellular polysaccharide metabolic process	MB1363/glgP
GO:0009064	4045	39	11	1	0.11	3	774	1.422	0.14222470113843735	0.39439262473687786	glutamine family amino acid metabolic process	MB2636c/snop
GO:0046906	4045	40	11	1	0.11	3	775	1.422	0.14274226209286156	0.39439262473687786	tetrapyrrole binding	MB2497/glbO
GO:0072524	4045	40	11	1	0.11	3	775	1.422	0.14274226209286156	0.39439262473687786	pyridine-containing compound metabolic process	MB2636c/snop
GO:0005976	4045	41	11	1	0.11	3	776	1.422	0.1432607220604473	0.39439262473687786	polysaccharide metabolic process	MB1363/glgP
GO:0030170	4045	41	11	1	0.11	3	776	1.422	0.1432607220604473	0.39439262473687786	pyridoxal phosphate binding	MB1363/glgP
GO:0070279	4045	41	11	1	0.11	3	776	1.422	0.1432607220604473	0.39439262473687786	vitamin B6 binding	MB1363/glgP
GO:0019725	4045	42	11	1	0.11	3	777	1.422	0.14378007966115883	0.39439262473687786	cellular homeostasis	MB1383/irta
GO:0015399	4045	43	11	1	0.12	3	778	1.415	0.14430033350890417	0.39439262473687786	primary active transmembrane transporter activity	MB1383/irta
GO:0015405	4045	43	11	1	0.12	3	778	1.415	0.14430033350890417	0.39439262473687786	P-P-bond-hydrolysis-driven transmembrane transporter activity	MB1383/irta
GO:0042592	4045	44	11	1	0.12	3	779	1.415	0.14482148221155502	0.39439262473687786	homeostatic process	MB1383/irta
GO:0019752	4045	353	11	2	0.96	4	1088	1.351	0.1470852879069167	0.39439262473687786	carboxylic acid metabolic process	MB1217c/fadD21 MB2636c/snop
GO:0016810	4045	49	11	1	0.13	3	784	1.408	0.14744059940398171	0.39439262473687786	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	MB2636c/snop
GO:0007154	4045	52	11	1	0.14	3	787	1.402	0.14902271757841443	0.39439262473687786	cell communication	MB1383/irta
GO:0031668	4045	52	11	1	0.14	3	787	1.402	0.14902271757841443	0.39439262473687786	cellular response to extracellular stimulus	MB1383/irta
GO:0042364	4045	52	11	1	0.14	3	787	1.402	0.14902271757841443	0.39439262473687786	water-soluble vitamin biosynthetic process	MB2636c/snop
GO:0071496	4045	52	11	1	0.14	3	787	1.402	0.14902271757841443	0.39439262473687786	cellular response to external stimulus	MB1383/irta
GO:0009110	4045	53	11	1	0.14	3	788	1.402	0.1495518563437064	0.39439262473687786	vitamin biosynthetic process	MB2636c/snop
GO:0009991	4045	53	11	1	0.14	3	788	1.402	0.1495518563437064	0.39439262473687786	response to extracellular stimulus	MB1383/irta
GO:0006767	4045	55	11	1	0.15	3	790	1.395	0.15061277423566677	0.39439262473687786	water-soluble vitamin metabolic process	MB2636c/snop
GO:0006766	4045	56	11	1	0.15	3	791	1.395	0.15114455044222333	0.39439262473687786	vitamin metabolic process	MB2636c/snop
GO:0006812	4045	57	11	1	0.16	3	792	1.389	0.15167720286613084	0.39439262473687786	cation transport	MB1383/irta
GO:0032553	4045	364	11	2	0.99	4	1099	1.338	0.15214946045915492	0.39439262473687786	ribonucleotide binding	MB1383/irta MB3080c/NA
GO:0016779	4045	59	11	1	0.16	3	794	1.389	0.15274513046242127	0.39439262473687786	nucleotidyltransferase activity	MB1217c/fadD21
GO:0042623	4045	62	11	1	0.17	3	797	1.382	0.1543535564397795	0.39439262473687786	ATPase activity, coupled	MB1383/irta
GO:0022804	4045	63	11	1	0.17	3	798	1.382	0.15489143500441407	0.39439262473687786	active transmembrane transporter activity	MB1383/irta
GO:0043436	4045	372	11	2	1.01	4	1107	1.329	0.1558892934193298	0.39439262473687786	oxoacid metabolic process	MB1217c/fadD21 MB2636c/snop
GO:0016757	4045	66	11	1	0.18	3	801	1.376	0.15651025929598547	0.39439262473687786	transferase activity, transferring glycosyl groups	MB1363/glgP
GO:0006082	4045	374	11	2	1.02	4	1109	1.325	0.1568316780127412	0.39439262473687786	organic acid metabolic process	MB1217c/fadD21 MB2636c/snop
GO:0097367	4045	375	11	2	1.02	4	1110	1.325	0.15730398042570917	0.39439262473687786	carbohydrate derivative binding	MB1383/irta MB3080c/NA
GO:0006633	4045	71	11	1	0.19	3	806	1.37	0.15922550359456422	0.39439262473687786	fatty acid biosynthetic process	MB1217c/fadD21
GO:0006091	4045	72	11	1	0.2	3	807	1.364	0.15977111917502887	0.39439262473687786	generation of precursor metabolites and energy	MB1363/glgP
GO:0019842	4045	81	11	1	0.22	3	816	1.351	0.16471980842352982	0.39439262473687786	vitamin binding	MB1363/glgP
GO:0044262	4045	82	11	1	0.22	3	817	1.351	0.1652738725077528	0.39439262473687786	cellular carbohydrate metabolic process	MB1363/glgP
GO:1902494	4045	82	11	1	0.22	3	817	1.351	0.1652738725077528	0.39439262473687786	catalytic complex	MB2636c/snop
GO:0050660	4045	85	11	1	0.23	3	820	1.345	0.16694107473948536	0.39439262473687786	flavin adenine dinucleotide binding	MB1383/irta
GO:0009108	4045	87	11	1	0.24	3	822	1.339	0.16805670164688544	0.39439262473687786	coenzyme biosynthetic process	MB2636c/snop
GO:1901615	4045	94	11	1	0.26	3	829	1.327	0.17198738937642155	0.39439262473687786	organic hydroxy compound metabolic process	MB2636c/snop
GO:0065008	4045	95	11	1	0.26	3	830	1.327	0.1725521948830492	0.39439262473687786	regulation of biological quality	MB1383/irta
GO:0072330	4045	101	11	1	0.27	3	836	1.322	0.17595807679140615	0.39439262473687786	monocarboxylic acid biosynthetic process	MB1217c/fadD21
GO:0006811	4045	102	11	1	0.28	3	837	1.316	0.17652854944021346	0.39439262473687786	ion transport	MB1383/irta
GO:0016887	4045	102	11	1	0.28	3	837	1.316	0.17652854944021346	0.39439262473687786	ATPase activity	MB1383/irta
GO:0006631	4045	107	11	1	0.29	3	842	1.31	0.17939292007148208	0.39439262473687786	fatty acid metabolic process	MB1217c/fadD21
GO:0006732	4045	114	11	1	0.31	3	849	1.299	0.18343634432012051	0.39439262473687786	coenzyme metabolic process	MB2636c/snop
GO:0016491	4045	432	11	2	1.17	4	1167	1.262	0.18542305420409794	0.39439262473687786	oxidoreductase activity	MB1383/irta MB3080c/NA
GO:0017111	4045	123	11	1	0.33	3	858	1.288	0.18869124156191303	0.39439262473687786	nucleoside-triphosphatase activity	MB1383/irta
GO:0016874	4045	125	11	1	0.34	3	860	1.282	0.18986746624329914	0.39439262473687786	ligase activity	MB1217c/fadD21
GO:0017144	4045	125	11	1	0.34	3	860	1.282	0.18986746624329914	0.39439262473687786	drug metabolic process	MB2636c/snop
GO:0022857	4045	125	11	1	0.34	3	860	1.282	0.18986746624329914	0.39439262473687786	transmembrane transporter activity	MB1383/irta
GO:0016829	4045	129	11	1	0.35	3	864	1.277	0.19222904683730085	0.39439262473687786	lyase activity	MB2636c/snop
GO:0005215	4045	131	11	1	0.36	3	866	1.271	0.1934143735287682	0.39439262473687786	transporter activity	MB1383/irta
GO:0033554	4045	131	11	1	0.36	3	866	1.271	0.1934143735287682	0.39439262473687786	cellular response to stress	MB1383/irta
GO:0051188	4045	134	11	1	0.36	3	869	1.271	0.19519799270627358	0.39439262473687786	cofactor biosynthetic process	MB2636c/snop
GO:0051716	4045	135	11	1	0.37	3	870	1.266	0.19579402614299013	0.39439262473687786	cellular response to stimulus	MB1383/irta
GO:0075136	4045	135	11	1	0.37	3	870	1.266	0.19579402614299013	0.39439262473687786	response to host	MB1383/irta
GO:0005975	4045	136	11	1	0.37	3	871	1.266	0.19639080334265246	0.39439262473687786	carbohydrate metabolic process	MB1363/glgP
GO:0016462	4045	136	11	1	0.37	3	871	1.266	0.19639080334265246	0.39439262473687786	pyrophosphatase activity	MB1383/irta
GO:1901605	4045	136	11	1	0.37	3	871	1.266	0.19639080334265246	0.39439262473687786	alpha-amino acid metabolic process	MB2636c/snop
GO:0016817	4045	137	11	1	0.37	3	872	1.266	0.1969883224436463	0.39439262473687786	hydrolase activity, acting on acid anhydrides	MB1383/irta
GO:0016818	4045	137	11	1	0.37	3	872	1.266	0.1969883224436463	0.39439262473687786	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	MB1383/irta
GO:0009607	4045	145	11	1	0.39	3	880	1.255	0.2017949589796369	0.39439262473687786	response to biotic stimulus	MB1383/irta
GO:0043207	4045	145	11	1	0.39	3	880	1.255	0.2017949589796369	0.39439262473687786	response to external biotic stimulus	MB1383/irta
GO:0051707	4045	145	11	1	0.39	3	880	1.255	0.2017949589796369	0.39439262473687786	response to other organism	MB1383/irta
GO:0051701	4045	146	11	1	0.4	3	881	1.25	0.20239907075899585	0.39439262473687786	interaction with host	MB1383/irta
GO:0016772	4045	148	11	1	0.4	3	883	1.25	0.20360946161084967	0.39439262473687786	transferase activity, transferring phosphorus-containing groups	MB1217c/fadD21
GO:0090407	4045	155	11	1	0.42	3	890	1.24	0.2078683853522212	0.39439262473687786	organophosphate biosynthetic process	MB2636c/snop
GO:0009405	4045	160	11	1	0.44	3	895	1.23	0.21093168569761528	0.39439262473687786	pathogenesis	MB1383/irta
GO:0032787	4045	162	11	1	0.44	3	897	1.23	0.21216189188036438	0.39439262473687786	monocarboxylic acid metabolic process	MB1217c/fadD21
GO:0006520	4045	168	11	1	0.46	3	903	1.22	0.21586905884176183	0.39439262473687786	cellular amino acid metabolic process	MB2636c/snop
GO:0055085	4045	169	11	1	0.46	3	904	1.22	0.21648931261452264	0.39439262473687786	transmembrane transport	MB1383/irta
GO:0008610	4045	174	11	1	0.47	3	909	1.215	0.21960071654563604	0.39439262473687786	lipid biosynthetic process	MB1217c/fadD21
GO:0051186	4045	174	11	1	0.47	3	909	1.215	0.21960071654563604	0.39439262473687786	cofactor metabolic process	MB2636c/snop
GO:0000166	4045	505	11	2	1.37	4	1240	1.187	0.2246850240466518	0.39439262473687786	nucleotide binding	MB1383/irta MB3080c/NA
GO:1901265	4045	505	11	2	1.37	4	1240	1.187	0.2246850240466518	0.39439262473687786	nucleoside phosphate binding	MB1383/irta MB3080c/NA
GO:0009605	4045	186	11	1	0.51	3	921	1.195	0.22713577870040824	0.39439262473687786	response to external stimulus	MB1383/irta
GO:0044424	4045	858	11	3	2.33	5	1593	1.155	0.23275550758073174	0.39439262473687786	intracellular part	MB1363/glgP MB2636c/snop MB3080c/NA
GO:0019637	4045	200	11	1	0.54	3	935	1.181	0.23604365584568526	0.39439262473687786	organophosphate metabolic process	MB2636c/snop
GO:0032991	4045	201	11	1	0.55	3	936	1.176	0.23668461453393733	0.39439262473687786	protein-containing complex	MB2636c/snop
GO:0044255	4045	213	11	1	0.58	3	948	1.163	0.24442334940491175	0.39439262473687786	cellular lipid metabolic process	MB1217c/fadD21
GO:0016053	4045	219	11	1	0.6	3	954	1.154	0.24832469648229707	0.39439262473687786	organic acid biosynthetic process	MB1217c/fadD21
GO:0046394	4045	219	11	1	0.6	3	954	1.154	0.24832469648229707	0.39439262473687786	carboxylic acid biosynthetic process	MB1217c/fadD21
GO:0044464	4045	1990	11	6	5.41	8	2725	1.08	0.24910857501785907	0.39439262473687786	cell part	MB1217c/fadD21 MB1363/glgP MB1383/irta MB2497/glbO MB2636c/snop MB3080c/NA
GO:0016740	4045	553	11	2	1.5	4	1288	1.143	0.2523031872454439	0.39439262473687786	transferase activity	MB1217c/fadD21 MB1363/glgP
GO:0006950	4045	226	11	1	0.61	3	961	1.149	0.25290241127281815	0.39439262473687786	response to stress	MB1383/irta
GO:0016787	4045	560	11	2	1.52	4	1295	1.136	0.2564400255992453	0.39439262473687786	hydrolase activity	MB1383/irta MB2636c/snop
GO:0044281	4045	597	11	2	1.62	4	1332	1.105	0.2787334275656455	0.39439262473687786	small molecule metabolic process	MB1217c/fadD21 MB2636c/snop
GO:0006629	4045	275	11	1	0.75	3	1010	1.091	0.28567358325335745	0.39439262473687786	lipid metabolic process	MB1217c/fadD21
GO:0044419	4045	275	11	1	0.75	3	1010	1.091	0.28567358325335745	0.39439262473687786	interspecies interaction between organisms	MB1383/irta
GO:0006796	4045	277	11	1	0.75	3	1012	1.091	0.2870360568560932	0.39439262473687786	phosphate-containing compound metabolic process	MB2636c/snop
GO:0006793	4045	288	11	1	0.78	3	1023	1.079	0.2945612650605814	0.39439262473687786	phosphorus metabolic process	MB2636c/snop
GO:0040007	4045	645	11	2	1.75	4	1380	1.067	0.3086330225415706	0.39439262473687786	growth	MB1383/irta MB2636c/snop
GO:0005524	4045	319	11	1	0.87	3	1054	1.045	0.3160350267597786	0.39439262473687786	ATP binding	MB1383/irta
GO:0005515	4045	322	11	1	0.88	3	1057	1.042	0.3181322784282792	0.39439262473687786	protein binding	MB2497/glbO
GO:0030554	4045	322	11	1	0.88	3	1057	1.042	0.3181322784282792	0.39439262473687786	adenyl nucleotide binding	MB1383/irta
GO:0032559	4045	322	11	1	0.88	3	1057	1.042	0.3181322784282792	0.39439262473687786	adenyl ribonucleotide binding	MB1383/irta
GO:0000018	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of DNA recombination	
GO:0000179	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	rRNA (adenine-N6,N6-)-dimethyltransferase activity	
GO:0000253	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	3-keto sterol reductase activity	
GO:0000286	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	alanine dehydrogenase activity	
GO:0000309	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nicotinamide-nucleotide adenylyltransferase activity	
GO:0000428	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA-directed RNA polymerase complex	
GO:0000451	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	rRNA 2'-O-methylation	
GO:0000453	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	enzyme-directed rRNA 2'-O-methylation	
GO:0000462	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	
GO:0000702	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	oxidized base lesion DNA N-glycosylase activity	
GO:0000726	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	non-recombinational repair	
