# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/Mbovis_sanger_roles.dat GSEA_files/sanger_roles.dat output/gsea_sanger.txt -M GSEA -ranking LFC -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11
# date: 2023-08-16 08:54:29
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by LFC
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 3 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
#   IV.K Chelatases (mean_rank=30.0)
#   I.F.2 Pyrimidine ribonucleotide biosynthesis (mean_rank=1666.8)
#   I.B.8 ATP-proton motive force (mean_rank=1747.4)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 0 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
II.B.6	Aromatic hydrocarbons	9	1530.1	0.479787	0.277228	0.845900	MB0324/NA (481) MB3560c/NA (485) MB0964/NA (675) MB3566c/hsae (1244) MB0794/NA (1564) MB1752/NA (1586) MB2734/NA (1703) MB3498c/mhpE (2996) MB3564c/hsaf (3037)
III.A.1	Amino acids	17	1534.2	0.436293	0.237624	0.818207	MB3690c/dppA (559) MB3687c/dppD (615) MB1312c/oppD (755) MB2593/glnQ (821) MB0941/betP (952) MB0419c/glnH (1015) MB0535/gabP (1131) MB2347c/rocE (1186) MB1313c/oppC (1439) MB0354c/ansP2 (1561) MB2151/ansP1 (1617) MB1311c/oppA (1644) MB1730c/cycA (1708) MB3688c/dppC (2539) MB3281c/NA (2639) MB1314c/oppB (2909) MB3689c/dppB (2991)
I.A.1	Carbon compounds	19	1574.9	0.442400	0.188119	0.785479	MB0636/galK (72) MB0635/galT (372) MB0748c/fucA (470) MB2225c/adok (564) MB0550/galE3 (751) MB0239c/gabD1 (1096) MB0750/xylB (1394) MB3721c/glpKb (1474) MB3095c/pgmA (1504) MB1760/gabD2 (1597) MB0513/galE2 (1609) MB3471c/mrsA (1736) MB3283c/manA (1850) MB1020/galU (1873) MB3285c/pmma (1888) MB2721/ppgK (2283) MB1126/NA (2660) MB3336/pmmB (2896) MB3722c/glpKa (3835)
I.C.1	General	12	1576.5	0.257767	0.940594	1.000000	MB1158c/ppdK (318) MB2234c/gcvT (502) MB2620/gabT (537) MB1863/gcvB (880) MB1857/gcvH (893) MB1245/glgC (1013) MB0162/pntB (1438) MB3462c/gadB (1483) MB3872c/glpQ1 (2302) MB0160/pntAa (2308) MB0325c/glpQ2 (3217) MB3596c/nat (4027)
II.B.4	Polysaccharides, lipopolysaccharides and phospholipids	7	1620.4	0.448745	0.405941	0.928979	MB3492/NA (159) MB1120/celA2b (1083) MB0063/celA1 (1216) MB3744/NA (1326) MB1362c/glgE (1766) MB1368/NA (2686) MB3946/NA (3107)
II.B.5	Esterases and lipases	24	1621.9	0.375129	0.277228	0.845900	MB2071c/lipT (407) MB1784c/plcD (441) MB0226/lipC (473) MB1435c/lipI (614) MB1958/lipD (626) MB2305/lipM (655) MB2490/lipP (1048) MB1534/lipL (1070) MB3202c/mesTa (1173) MB2510c/lipQ (1401) MB1135/NA (1468) MB2406/mbtJ (1486) MB1105/lipU (1647) MB3517c/lipF (1677) MB0665c/lipG (1688) MB1935c/lipJ (1709) MB1461c/lipO (1773) MB3201c/mesTb (1783) MB3228/lipV (2357) MB3804/lipE (2792) MB2994c/lipN (2948) MB1134/NA (2952) MB3111/lipR (3314) MB1434c/nlhh (3423)
IV.E	Bacteriocin-like proteins	3	1627.3	0.443194	0.584158	1.000000	MB3684c/NA (920) MB3685/NA (1292) MB0821c/cfp29 (2670)
I.H.3	Acyltransferases, Mycoloyltransferases, and phospholipid synthesis	23	1629.0	0.397282	0.326733	0.883663	MB1653c/NA (158) MB0938c/NA (258) MB3834c/fbpA (279) MB2311/cdh (370) MB1570/NA (378) MB3006c/gpdA2 (379) MB3553/ltp3 (568) MB2507c/plsB2 (678) MB3747/NA (836) MB0134c/fbpC (1172) MB3833c/fbpD (1269) MB1577/plsB1 (1495) MB1898/NA (1572) MB2767c/pgsA3 (1683) MB2644c/pgsA1 (2071) MB1844/erg3 (2202) MB1853/pgsA2 (2495) MB0046c/NA (2713) MB1918c/fbpB (2841) MB2285c/NA (3056) MB2905c/cdsA (3301) MB0579c/gpdA1 (3801) MB0445c/psd (3891)
III.E	Adaptations and atypical conditions	12	1645.8	0.450302	0.247525	0.818207	MB1054/ppx2 (223) MB3520/otsA (238) MB2029/otsB1 (888) MB3785c/proX (1190) MB1936/cinA (1396) MB3784c/proV (1417) MB3782c/proZ (1485) MB3672c/cspA (2060) MB3407/otsB2 (2124) MB3090/cstA (2615) MB0895/cspB (2618) MB3783c/proW (3495)
I.F.2	Pyrimidine ribonucleotide biosynthesis	9	1666.8	0.859638	0.000500	0.029753	MB1420/pyrF (62) MB1725/pyrG (1177) MB1418/carA (1793) MB1419/carB (1794) MB1415/pyrB (1993) MB2163/pyrD (2013) MB1416/pyrC (2020) MB0389c/pyrE (2040) MB2907c/pyrH (2109)
IV.D	Antibiotic production and resistance	13	1670.8	0.577605	0.085938	0.720022	MB2062/NA (40) MB2069c/pncA (197) MB1382c/mbtk (219) MB3847/NA (513) MB3726c/egtE (545) MB0825c/NA (1147) MB2325c/NA (1490) MB3254c/NA (2387) MB1203/mshB (2873) MB1111/mca (2937) MB3318c/lat (2972) MB2094c/blaC (3140) MB0268c/aac (3260)
II.C.4	Conserved membrane proteins	14	1681.4	0.343571	0.693069	1.000000	MB2221c/mmpS3 (420) MB3853c/mmpL8 (520) MB2367/mmpL9a (691) MB1215/mmpL10 (772) MB0410c/mmpS1 (858) MB2368/mmpL9b (944) MB1549c/mmpL12 (1212) MB0208c/mmpL11 (1315) MB0695c/mmpL5 (1729) MB1583/mmpL6 (2385) MB2967/mmpL7 (2685) MB0518/mmpS2 (3264) MB0459c/mmpS4 (3320) MB0696c/mmpS5 (3424)
I.F.5	Miscellaneous nucleoside/nucleotide reactions	9	1691.0	0.758397	0.011640	0.230864	MB1739/cmk (100) MB2385c/era (151) MB2746c/miaA (1270) MB2467c/obg (1787) MB2472c/ndkA (1826) MB0754/adk (2182) MB2373c/dgt (2460) MB2427c/lepA (2653) MB2614c/relA (2790)
II.B.2	DNA	3	1700.0	0.571097	0.356436	0.883663	MB1138c/xseA (337) MB1137c/xseB (1633) MB0689/end (3130)
III.D	Protein and peptide secretion	14	1732.5	0.487775	0.148515	0.736386	MB1566/lspA (142) MB2837/NA (317) MB1475/secG (814) MB2489c/tig (852) MB1852/secA2 (1423) MB0753/secY (1540) MB3268c/secA1 (1682) MB2927c/lepB (1884) MB0657/secE1 (1933) MB2617c/secF (2478) MB1640/lgt (2612) MB2618c/secD (2658) MB2940c/ffh (2759) MB0386/secE2 (3161)
I.D.3	Serine family	15	1736.1	0.225353	0.950495	1.000000	MB3068c/serB2 (200) MB1371/cysM (410) MB0871/cysK2 (582) MB1106/cbs (787) MB2363/cysE (1082) MB2362/cysK1 (1233) MB0838c/cysA2 (1414) MB3020c/serA1 (1445) MB0071c/glyA2 (1649) MB0517c/serB1 (1948) MB0524/hemD (1953) MB3144/cyp141 (2758) MB0908c/serC (2872) MB2872c/cysG (3776) MB1123/glyA1 (3932)
IV.B.3	Phage-related functions	23	1736.7	0.323325	0.504950	1.000000	MB3777/NA (15) MB2337/NA (66) MB1604c/NA (141) MB1606c/NA (336) MB3776c/NA (424) MB1608c/NA (499) MB1727/NA (572) MB1600/NA (676) MB1610c/NA (843) MB1605c/NA (876) MB2335c/NA (946) MB2918c/xerC (963) MB2854c/vapb22 (2118) MB1599/NA (2121) MB1601/NA (2420) MB1603c/NA (2668) MB1607c/NA (2830) MB1611c/NA (2970) MB1612c/NA (3200) MB1602c/NA (3318) MB1083/NA (3921) MB1084/NA (3992) MB1609c/NA (4029)
I.B.8	ATP-proton motive force	8	1747.4	0.950825	0.000000	0.000000	MB1340/atpA (180) MB1336/atpB (1799) MB1338/atpF (1817) MB1342/atpD (1904) MB1337/atpE (1926) MB1343/atpC (2039) MB1341/atpG (2102) MB1339/atpH (2212)
III.A.4	Anions	33	1748.1	0.360771	0.217822	0.818207	MB0958/pstBb (204) MB3329c/phoY1 (245) MB0952/pstC2 (248) MB1890/modC (412) MB0843/phoT (469) MB2356c/narK1 (495) MB2419c/cysA1 (514) MB2704/arsB1 (526) MB0953/pstA1 (667) MB2302/pitB (762) MB1891/apa (780) MB0956c/pstS2 (857) MB3704/NA (889) MB1734/NA (1076) MB0273/narU (1391) MB1889/modB (1712) MB0267c/narK3 (1715) MB2421c/cysT (1720) MB0959/pstS1 (2237) MB2422c/subI (2263) MB2703/arsA (2450) MB1768c/NA (2488) MB3609/arsB2 (2564) MB2420c/cysW (2581) MB2676/arsC (2617) MB3705/NA (2624) MB1766c/narK2 (2751) MB0844c/phoY2 (3087) MB0961/pstA2 (3089) MB1888/modA (3352) MB0960/pstC1 (3394) MB0951/pstS3 (3490) MB0957/pstBa (4017)
IV.F	Cytochrome P450 enzymes	20	1776.2	0.382606	0.336634	0.883663	MB0583/cyp135B1 (176) MB3547c/cyp142b (360) MB2289/cyp124 (377) MB1813c/cyp143 (393) MB1694c/cyp139 (484) MB3710c/cyp137 (988) MB0141/cyp138 (1234) MB0789c/cyp123 (1240) MB3575c/cyp125 (1309) MB3085/cyp136 (1525) MB3548c/cyp142a (1635) MB0801/cyp126 (1744) MB0786c/NA (2392) MB0787c/cyp51 (2687) MB1912c/cyp140 (2827) MB1806/cyp144 (2980) MB2291c/cyp128 (3092) MB2299/cyp121 (3142) MB1429c/cyp132 (3155) MB1703/NA (3785)
I.C	Central intermediary metabolism	42	1777.1	0.211375	0.900990	1.000000	MB0837c/sseC2 (208) MB0217/pckA (294) MB1158c/ppdK (318) MB0070c/sdaA (357) MB3825/NA (463) MB2234c/gcvT (502) MB2620/gabT (537) MB3497c/rmlB2 (573) MB3433/NA (795) MB1863/gcvB (880) MB1857/gcvH (893) MB3327c/atsB (934) MB1245/glgC (1013) MB3292c/manC (1210) MB0732/atsAb (1242) MB0731/atsAa (1312) MB2155c/cysQ (1375) MB0162/pntB (1438) MB3813/rfbB (1449) MB3462c/gadB (1483) MB2314/sseB (1533) MB0304c/NA (1726) MB3493/rmlB1 (1771) MB0341/rmlA (1865) MB3658c/galE1 (1876) MB3276c/sahH (2005) MB3466c/glmS (2030) MB3494/rmlC (2215) MB3788c/NA (2258) MB3872c/glpQ1 (2302) MB0160/pntAa (2308) MB3104/NA (2314) MB3294c/rmlD (2698) MB3311/sseA (2720) MB0330/udgA (2725) MB3293c/wbbL1 (3171) MB0325c/glpQ2 (3217) MB0682/atsD (3228) MB1316/cysD (3533) MB1317/cysN (3862) MB1552/wbbL2 (3979) MB3596c/nat (4027)
II.B	Degradation of macromolecules	80	1778.5	0.280326	0.465347	1.000000	MB3492/NA (159) MB1138c/xseA (337) MB2071c/lipT (407) MB1784c/plcD (441) MB0226/lipC (473) MB0324/NA (481) MB3560c/NA (485) MB2564c/pepQ (538) MB0863c/pip (577) MB1435c/lipI (614) MB1958/lipD (626) MB2305/lipM (655) MB0964/NA (675) MB1255/htrA (807) MB2805c/pepR (811) MB3453c/gcp (878) MB2471c/rne (915) MB2686/clpX' (928) MB0204c/zmp1 (1026) MB2490/lipP (1048) MB1534/lipL (1070) MB1120/celA2b (1083) MB3954c/rnpA (1154) MB3202c/mesTa (1173) MB0755/mapA (1174) MB2744c/hflX (1200) MB0063/celA1 (1216) MB3566c/hsae (1244) MB3744/NA (1326) MB2510c/lipQ (1401) MB2116c/pepE (1464) MB1135/NA (1468) MB2406/mbtJ (1486) MB2886c/mapB (1532) MB0794/NA (1564) MB1752/NA (1586) MB2236/pepB (1625) MB1137c/xseB (1633) MB1105/lipU (1647) MB3517c/lipF (1677) MB0665c/lipG (1688) MB2734/NA (1703) MB1935c/lipJ (1709) MB1362c/glgE (1766) MB1461c/lipO (1773) MB3201c/mesTb (1783) MB2488c/clpP1 (1813) MB2487c/clpP2 (1823) MB2484c/clpX (1831) MB1042c/pth (1932) MB3627c/clpC (2073) MB2950c/rnc (2098) MB0804/ptrB (2206) MB2926c/rnhB (2220) MB3333c/amiA1 (2235) MB3228/lipV (2357) MB0327/pcp (2391) MB3334c/amiB1 (2425) MB1375/rphA (2433) MB0130/pepA (2464) MB0745/sppA (2468) MB2133c/prcA (2571) MB1368/NA (2686) MB3916c/mycp2 (2730) MB3695c/NA (2752) MB3804/lipE (2792) MB2494/pepN (2795) MB3913c/mycp1 (2944) MB2994c/lipN (2948) MB1134/NA (2952) MB3498c/mhpE (2996) MB3564c/hsaf (3037) MB3946/NA (3107) MB0689/end (3130) MB3111/lipR (3314) MB2134c/prcB (3367) MB1434c/nlhh (3423) MB3692c/NA (3496) MB0823/pepC (3718) MB1009/pepd (3725)
II.B.1	RNA	6	1792.0	0.600897	0.188119	0.785479	MB2471c/rne (915) MB3954c/rnpA (1154) MB1042c/pth (1932) MB2950c/rnc (2098) MB2926c/rnhB (2220) MB1375/rphA (2433)
I.G.11	Menaquinone, PQQ, ubiquinone and other terpenoids	15	1802.7	0.499225	0.148515	0.736386	MB3883/rraa (196) MB2195/idsA2 (296) MB0562c/menB (313) MB0568/menC (820) MB0712/pqqE (1499) MB1016c/grcC2 (1667) MB0573/menH (1753) MB2701c/dxs1 (1848) MB0570/menD (1984) MB3430c/phyA (2130) MB0577/grcC1 (2287) MB3415c/idsB (2838) MB0556c/menE (2839) MB0548c/menA (3251) MB3431c/idsA1 (3319)
IV.A	Virulence	25	1810.4	0.291331	0.603960	1.000000	MB0173/yrbE1A (36) MB3127c/smpB (127) MB3953c/NA (212) MB2213c/NA (272) MB3529c/mce4A (680) MB1514/NA (690) MB3524c/mce4F (874) MB3526c/mce4D (891) MB3530c/yrbE4B (1024) MB0610/mce2F (1051) MB0178/mce1D (1259) MB1999/yrbE3A (1352) MB0025/NA (1407) MB3528c/mce4B (1520) MB1593c/NA (1588) MB3527c/mce4C (2452) MB0024/NA (2509) MB1513/ripa (2689) MB1114c/NA (2994) MB0603/yrbE2B (3310) MB3531c/yrbE4A (3445) MB3926c/NA (3456) MB0174/yrbE1B (3652) MB0602/yrbE2A (3872) MB1720/tlyA (3899)
III.A.3	Carbohydrates, organic acids and alcohols	20	1817.1	0.266602	0.811881	1.000000	MB2856c/ugpC (31) MB2065c/NA (209) MB2345/uspC (347) MB1270/sugC (588) MB2859c/ugpAb (628) MB1232/NA (638) MB2067c/NA (974) MB2066c/NA (984) MB2343/uspA (1100) MB3364/sugI (1598) MB1937c/nanT (1748) MB2470/dctA (1756) MB2857c/ugpB (1778) MB3503c/kgtP (2503) MB2064c/NA (2905) MB1268/sugA (3397) MB1269/sugB (3407) MB2858c/ugpE (3795) MB2344/uspB (3962) MB2860c/ugpAa (3994)
I.D.7	Branched amino acid family	13	1820.3	0.563375	0.086614	0.720022	MB3027c/ilvN (77) MB3499c/ilvB2 (388) MB3737/leuA (1238) MB1585/ilvA (1538) MB2233c/ilvE (1672) MB3011c/leuD (1738) MB0195c/ilvD (1967) MB3028c/ilvB1 (1977) MB3026c/ilvC (2066) MB3539c/ilvX (2379) MB3012c/leuC (2559) MB1851/ilvG (2915) MB3019c/leuB (3150)
III.B	Chaperones/Heat shock	15	1820.5	0.354981	0.475248	1.000000	MB2057c/hspX (14) MB3451c/groEL1 (168) MB0578/htpX (419) MB0257c/hsp (546) MB2395c/hrcA (865) MB0391c/clpB (1021) MB2720c/suhB (1611) MB3452c/groES (1864) MB0448/groEL2 (1960) MB0358/dnaK (2038) MB0361/hspR (2588) MB2321c/htpG (2691) MB0360/dnaJ1 (3742) MB3297/NA (3873) MB2394c/dnaJ2 (3907)
IV.B.1	IS elements	61	1826.8	0.256177	0.712871	1.000000	MB2112/NA (28) MB3661/NA (56) MB1064c/NA (57) MB2036/NA (78) MB3660/NA (282) MB3662/NA (300) MB1180/NA (391) MB0852/NA (645) MB3003c/NA (659) MB3419/NA (696) MB1346c/NA (715) MB2909c/NA (725) MB3827/NA (728) MB3461c/NA (743) MB1071c/NA (815) MB2685/NA (818) MB2814c/NA (927) MB2833c/NA (945) MB2540c/NA (979) MB1231c/NA (995) MB1076/NA (1000) MB3142/NA (1004) MB3049c/NA (1058) MB2447c/NA (1085) MB3857c/NA (1099) MB2199c/NA (1146) MB3664c/NA (1289) MB2113/NA (1357) MB2910c/NA (1383) MB3002c/NA (1450) MB2839c/NA (1653) MB1181/NA (1678) MB3828/NA (1692) MB2448c/NA (1913) MB2114/NA (2254) MB3858c/NA (2343) MB3874/NA (2370) MB1070c/NA (2453) MB0946/NA (2458) MB3382c/NA (2496) MB0762/NA (2504) MB0621/NA (2580) MB3381/NA (2609) MB2836/NA (2736) MB1345c/NA (2774) MB2968/NA (2776) MB3213c/NA (2851) MB3418/NA (2924) MB3460c/NA (2935) MB3360/NA (2945) MB0944c/NA (2981) MB0820/NA (3036) MB2838c/NA (3204) MB0622/NA (3224) MB2037/NA (3482) MB0945/NA (3621) MB2835/NA (3669) MB2815c/NA (3879) MB0873/NA (3902) MB1063c/NA (4003) MB1065c/NA (4034)
I.G.4	Molybdopterin	18	1833.4	0.339901	0.564356	1.000000	MB3138/moaC1 (9) MB1010/moaB2 (122) MB2366c/moeW (332) MB0890/moaE2 (543) MB3143/moeB2 (583) MB1021/moeA1 (653) MB3353c/moaC3 (953) MB0893c/moaA2 (1128) MB3136/moaA1 (1232) MB1708/moeX (1387) MB0892c/moaD2 (1492) MB3139/moaD1 (3081) MB0888/moaC2 (3331) MB3231c/moeB1 (3434) MB3137/moaB1 (3528) MB0889/mog (3690) MB3351c/NA (3746) MB1390c/moeY (3758)
I.G.13	Cobalamin	18	1850.2	0.331954	0.574257	1.000000	MB0260c/cobU (91) MB2231/cobS (283) MB2096c/cobK (396) MB2874c/cobO (647) MB2090/cobG (699) MB2091/cobH (732) MB2088c/cobN (1012) MB2260c/cobD (1302) MB2097c/cobM (1306) MB3740/cobQ2 (2046) MB2230/cobT (2466) MB0314/NA (2531) MB2092/cobI (2593) MB2099c/cobLa (2965) MB2873c/cobB (3315) MB0261c/cobQ1 (3596) MB2098c/cobLb (3645) MB2256c/cobC (3678)
II.A.5	DNA replication, repair, recombination and restriction/modification	71	1862.4	0.282451	0.544554	1.000000	MB1192/mutT2 (18) MB3000c/ung (134) MB1722/recN (138) MB0647c/recBa (140) MB3222c/uvrD2 (171) MB2624c/ruvA (348) MB2214/NA (395) MB3405c/dnaE2 (403) MB3089/ligB (405) MB3226c/NA (448) MB2623c/ruvB (453) MB0435c/xthA (554) MB1242/tagA (660) MB3039c/ligA (670) MB1364c/dinG (707) MB2949c/fpg (734) MB3082/dinP (738) MB3670c/topA (744) MB3742c/recR (756) MB0072/NA (883) MB2119c/helY (892) MB0003/recF (936) MB2777c/hsdM (947) MB2998c/recG (1113) MB2127/helZ (1153) MB2491c/NA (1170) MB1437/priA (1343) MB1350c/alkAb (1390) MB3291/NA (1429) MB1048/mfd (1496) MB2756c/recA (1550) MB0005/gyrB (1581) MB2117/NA (1630) MB0002/dnaN (1690) MB0648c/recC (1723) MB1574/dnaE1 (1789) MB0006/gyrA (1905) MB3748c/dnaZX (1916) MB0001/dnaA (1978) MB0059/dnaB (2028) MB2372c/dnaG (2049) MB3668c/NA (2083) MB1659/uvrB (2297) MB3758/ligC (2414) MB0884c/ercc3 (2415) MB3227c/NA (2419) MB1349c/ogt (2480) MB3698c/nth (2518) MB0974/uvrD1 (2535) MB3616/radA (2538) MB3738c/dnaQ (2549) MB3009/mutT1 (2656) MB2776c/hsdS' (2708) MB3324/lhr (2746) MB1564/dinX (2797) MB2861c/dinF (2895) MB1455/uvrC (3041) MB3325/nei (3053) MB3620/mutY (3105) MB1664/uvrA (3213) MB1714/mpg (3268) MB0055/ssb (3439) MB1655/polA (3529) MB0421/mutT3 (3531) MB2557c/mrr (3708) MB0645c/recD (3799) MB1351c/alkAa (3805) MB0646c/recBb (3812) MB2625c/ruvC (3841) MB0969/NA (3887) MB2755c/recX (3940)
III.A	Transport/binding proteins	118	1865.1	0.256641	0.534653	1.000000	MB2856c/ugpC (31) MB2711/ceoC (104) MB2710/ceoB (129) MB3018/NA (144) MB0958/pstBb (204) MB2065c/NA (209) MB3329c/phoY1 (245) MB0952/pstC2 (248) MB2742/NA (287) MB2345/uspC (347) MB2813c/ltp1 (389) MB1890/modC (412) MB0948c/mntH (414) MB2881/nicT (423) MB0843/phoT (469) MB2356c/narK1 (495) MB2419c/cysA1 (514) MB3265c/NA (518) MB2704/arsB1 (526) MB3690c/dppA (559) MB1270/sugC (588) MB3687c/dppD (615) MB2859c/ugpAb (628) MB1232/NA (638) MB0953/pstA1 (667) MB1312c/oppD (755) MB2302/pitB (762) MB1891/apa (780) MB2593/glnQ (821) MB2232/NA (838) MB2962/drrB (840) MB0956c/pstS2 (857) MB2944c/amt (885) MB3704/NA (889) MB0941/betP (952) MB2067c/NA (974) MB2066c/NA (984) MB3187c/NA (997) MB0419c/glnH (1015) MB0932/ctpE (1019) MB1734/NA (1076) MB2343/uspA (1100) MB0535/gabP (1131) MB1059/kdpB (1137) MB2871c/efpA (1179) MB2347c/rocE (1186) MB2486/NA (1196) MB2961/drrA (1224) MB1841/mgtC (1369) MB0273/narU (1391) MB1313c/oppC (1439) MB3570c/ltp2 (1440) MB2361c/stp (1556) MB0354c/ansP2 (1561) MB3364/sugI (1598) MB2151/ansP1 (1617) MB1311c/oppA (1644) MB1730c/cycA (1708) MB1889/modB (1712) MB0267c/narK3 (1715) MB2421c/cysT (1720) MB1937c/nanT (1748) MB2470/dctA (1756) MB2857c/ugpB (1778) MB0959/pstS1 (2237) MB2422c/subI (2263) MB3092/mmr (2275) MB0872/NA (2278) MB2963/drrC (2354) MB2015c/ctpG (2401) MB2703/arsA (2450) MB1768c/NA (2488) MB3503c/kgtP (2503) MB3688c/dppC (2539) MB3609/arsB2 (2564) MB2420c/cysW (2581) MB2676/arsC (2617) MB3705/NA (2624) MB3281c/NA (2639) MB1908/NA (2665) MB1660/NA (2733) MB1177/mmpL13 (2735) MB1766c/narK2 (2751) MB3769c/ctpJ (2770) MB1909/NA (2773) MB1288c/NA (2804) MB1445c/NA (2824) MB2902c/NA (2878) MB1850c/baca (2879) MB1060/kdpC (2883) MB2064c/NA (2905) MB1314c/oppB (2909) MB0271c/NA (2921) MB3689c/dppB (2991) MB3070/fecB (3046) MB0844c/phoY2 (3087) MB0961/pstA2 (3089) MB1271c/corA (3090) MB1504/ctpD (3101) MB1282/NA (3185) MB0994/ctpV (3262) MB2020/ctpF (3340) MB3298/ctpC (3350) MB1888/modA (3352) MB0805c/emrB (3370) MB0960/pstC1 (3394) MB1268/sugA (3397) MB1269/sugB (3407) MB2309/yjcE (3480) MB0951/pstS3 (3490) MB1058/kdpA (3589) MB2160c/NA (3591) MB3264c/NA (3594) MB1633/chaA (3710) MB2858c/ugpE (3795) MB2344/uspB (3962) MB2860c/ugpAa (3994) MB0957/pstBa (4017)
I.G.9	Riboflavin	8	1871.5	0.440481	0.386139	0.900990	MB3328c/NA (143) MB2690/ribD (1075) MB1444/ribG (1741) MB1451/ribH (1829) MB1450/ribA2 (1892) MB1447/ribC (1998) MB1975/ribA1 (2622) MB2809c/ribF (3672)
