# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/kegg_gene_terms.dat GSEA_files/kegg_term_names.dat output/gsea_kegg.txt -M GSEA -ranking LFC -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11 -p 1
# date: 2023-08-18 12:15:00
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by LFC
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 0 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 1 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
#   mbo00970 Aminoacyl-tRNA biosynthesis (mean_rank=2104.5)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
mbo00521	Streptomycin biosynthesis	6	1727.5	0.611969	0.118812	0.599460	MB0669/NA (443) MB3813/rfbB (1453) MB3493/rmlB1 (1767) MB0341/rmlA (1862) MB3494/rmlC (2216) MB1630/impA (2624)
mbo01220	Degradation of aromatic compounds	4	1733.8	0.196786	0.950495	0.986028	MB1557/adh (737) MB1893/adhA (1329) MB0794/NA (1558) MB3111/lipR (3311)
mbo00260	Glycine, serine and threonine metabolism	13	1747.8	0.366120	0.465347	0.782628	MB0471/lpd (129) MB3195/aofH (240) MB1106/cbs (788) MB1863/gcvB (881) MB1857/gcvH (888) MB1585/ilvA (1535) MB1639/trpA (1997) MB0499/gpm1 (2140) MB1638/trpB (2154) MB1326/thrA (2161) MB1327/thrC (2366) MB1328/thrB (3511) MB1123/glyA1 (3932)
mbo00730	Thiamine metabolism	4	1750.0	0.838901	0.026316	0.423958	MB3257/NA (651) MB0754/adk (2076) MB0425/thiG (2134) MB0423/thiO (2139)
mbo00903	Limonene degradation	4	1753.5	0.246288	0.930693	0.974594	MB0152/NA (778) MB0791/aldA (1224) MB2760/ephg (1701) MB3111/lipR (3311)
mbo00785	Lipoic acid metabolism	7	1761.6	0.375138	0.524752	0.832107	MB0471/lpd (129) MB1863/gcvB (881) MB1857/gcvH (888) MB2238/dlat (1182) MB2241/lipA (2717) MB2265/aceE (3240) MB2240/lipB (3294)
mbo00410	beta-Alanine metabolism	15	1767.7	0.238006	0.910891	0.972201	MB1507/echA12 (218) MB0929/echA6 (261) MB0694/echA5 (498) MB2620/gabT (531) MB0152/NA (778) MB3580/echA20 (987) MB3803/echA21 (1101) MB0791/aldA (1224) MB2698/echA15 (1610) MB2855/echA16 (2589) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo00310	Lysine degradation	25	1773.4	0.294555	0.633663	0.876591	MB3576/fadA5 (102) MB0471/lpd (129) MB1507/echA12 (218) MB0929/echA6 (261) MB0694/echA5 (498) MB2620/gabT (531) MB3553/ltp3 (569) MB0152/NA (778) MB3580/echA20 (987) MB3803/echA21 (1101) MB0249/fadA2 (1220) MB0791/aldA (1224) MB1898/NA (1576) MB1760/gabD2 (1603) MB2698/echA15 (1610) MB2855/echA16 (2589) MB1358/fadA4 (2663) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB3321/pcd (3161) MB0882/fadA (3333) MB1746/NA (3465) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo00999	Biosynthesis of various plant secondary metabolites	2	1790.5	0.635419	0.376238	0.782628	MB0192/bglS (1474) MB1427/metK (2107)
mbo01232	Nucleotide metabolism	14	1794.1	0.527775	0.138614	0.610561	MB3310/NA (63) MB1739/cmk (101) MB0238/nrdB (245) MB0585/nrdZ (1035) MB1725/pyrG (1173) MB1049/mazG (1384) MB1424/gmk (1796) MB0800/purB (1926) MB0754/adk (2076) MB3335/deoD (2306) MB1376/NA (2850) MB0329/dcd (3026) MB3425/iunH (3545) MB1414/pyrR (3591)
mbo00030	Pentose phosphate pathway	5	1795.4	0.622364	0.188119	0.652537	MB2462/rbsK (107) MB1443/rpe (119) MB1153/gnd2 (1761) MB0488/deoC (3313) MB1152/zwf1 (3677)
mbo00630	Glyoxylate and dicarboxylate metabolism	25	1798.8	0.363158	0.267327	0.741832	MB3576/fadA5 (102) MB1950/aceA (108) MB0471/lpd (129) MB3553/ltp3 (569) MB3691/acs (704) MB1863/gcvB (881) MB1857/gcvH (888) MB0249/fadA2 (1220) MB1162/prpc (1310) MB1898/NA (1576) MB0476/icl (1584) MB1272/mdh (1802) MB3308/accD5 (1848) MB2271/accD6 (1858) MB2244/glnA1 (1976) MB3313/accA3 (2088) MB2301/NA (2223) MB1529/mutA (2368) MB2988/purU (2390) MB1358/fadA4 (2663) MB0920/gltA2 (2854) MB1530/mutB (2961) MB0882/fadA (3333) MB1910/glnA3 (3604) MB1123/glyA1 (3932)
mbo00270	Cysteine and methionine metabolism	21	1837.1	0.303106	0.653465	0.876591	MB0549/pnp (456) MB2632/speE (565) MB0871/cysK2 (581) MB1108/metB (696) MB1106/cbs (788) MB3372/metC (833) MB2363/cysE (1085) MB2362/cysK1 (1238) MB0077/NA (1522) MB2314/sseB (1536) MB1272/mdh (1802) MB1427/metK (2107) MB1326/thrA (2161) MB2485/mmuM (2329) MB3709/NA (2563) MB3311/sseA (2719) MB3144/cyp141 (2758) MB0397/metZ (2833) MB0094/mtn (3005) MB3373/metA (3464) MB2316/NA (3538)
mbo00550	Peptidoglycan biosynthesis	6	1838.3	0.799618	0.012128	0.423958	MB2935/dacB2 (262) MB3739/NA (1864) MB3740/cobQ2 (1936) MB1348/murA (2119) MB0492/murB (2314) MB3363/dacB1 (2535)
mbo00543	Exopolysaccharide biosynthesis	2	1848.0	0.385956	0.702970	0.876738	MB2363/cysE (1085) MB1334/rfe (2611)
mbo01053	Biosynthesis of siderophore group nonribosomal peptides	2	1866.0	0.572631	0.435644	0.782628	MB3241/entC (133) MB2405/mbtA (3599)
mbo00790	Folate biosynthesis	12	1876.6	0.346567	0.613861	0.876591	MB3138/moaC1 (9) MB0890/moaE2 (542) MB1021/moeA1 (653) MB1239/folP2 (699) MB3136/moaA1 (1230) MB0835/NA (1287) MB1450/ribA2 (1919) MB1975/ribA1 (2625) MB0013/trpG (2723) MB0888/moaC2 (3336) MB3137/moaB1 (3529) MB0353/NA (3967)
mbo01212	Fatty acid metabolism	30	1883.4	0.240751	0.900990	0.972201	MB3576/fadA5 (102) MB1507/echA12 (218) MB0929/echA6 (261) MB3164/fadE23 (395) MB0694/echA5 (498) MB3553/ltp3 (569) MB1385/fabG2 (644) MB3580/echA20 (987) MB0220/fadD4 (1072) MB0236/fadE4 (1093) MB3803/echA21 (1101) MB0249/fadA2 (1220) MB1898/NA (1576) MB2698/echA15 (1610) MB0412/pks6a (1670) MB2271/accD6 (1858) MB1124/desA2 (2044) MB3313/accA3 (2088) MB0668/fabD2 (2323) MB2855/echA16 (2589) MB1358/fadA4 (2663) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB1576/fadD11 (2952) MB0882/fadA (3333) MB2267/fabD (3415) MB2210/fadD15 (3504) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo00540	Lipopolysaccharide biosynthesis	3	1894.0	0.314274	0.851485	0.972201	MB0118/gmhb (446) MB0117/gmhA (1568) MB0119/hdda (3668)
mbo03010	Ribosome	37	1897.4	0.417036	0.068750	0.472523	MB1330/rpmE (35) MB0054/rpsF (48) MB0743/rpmD (90) MB0730/rpsQ (490) MB2435/rpsT (556) MB0057/rplI (1552) MB0720/rpsJ (1787) MB1670/rplT (1799) MB0725/rpsS (1815) MB0738/rpsN1 (1836) MB1005/rpmF (1853) MB0659/rplK (1854) MB1656/rpsA (1872) MB0737/rplE (1929) MB0742/rpsE (1972) MB0721/rplC (1974) MB0727/rpsC (2037) MB0670/rplJ (2047) MB0702/rpsG (2048) MB0741/rplR (2050) MB0724/rplB (2054) MB0660/rplA (2058) MB0739/rpsH (2068) MB0740/rplF (2072) MB0671/rplL (2091) MB0728/rplP (2112) MB0726/rplV (2114) MB0722/rplD (2126) MB1669/rpmI (2147) MB0735/rplN (2167) MB0723/rplW (2168) MB0701/rpsL (2177) MB0729/rpmC (2184) MB0736/rplX (2197) MB0744/rplO (2769) MB0653/rpmG2 (4019) MB0056/rpsR1 (4037)
mbo01110	Biosynthesis of secondary metabolites	176	1897.7	0.278691	0.277228	0.750543	MB0983/NA (34) MB1220/NA (67) MB1379/mbtl (69) MB3576/fadA5 (102) MB1950/aceA (108) MB1443/rpe (119) MB0471/lpd (129) MB3241/entC (133) MB1507/echA12 (218) MB3520/otsA (238) MB3195/aofH (240) MB0929/echA6 (261) MB0217/pckA (294) MB2195/idsA2 (296) MB1363/glgP (319) MB2276/NA (366) MB2311/cdh (370) MB3164/fadE23 (395) MB0669/NA (443) MB0694/echA5 (498) MB1878/NA (525) MB0467/NA (564) MB3553/ltp3 (569) MB1472/pgk (576) MB0395/purT (641) MB1385/fabG2 (644) MB1108/metB (696) MB3691/acs (704) MB1557/adh (737) MB0550/galE3 (747) MB1028/arcA (761) MB0152/NA (778) MB1106/cbs (788) MB0568/menC (818) MB1863/gcvB (881) MB1857/gcvH (888) MB2029/otsB1 (893) MB3434/NA (951) MB3580/echA20 (987) MB1245/glgC (1018) MB2363/cysE (1085) MB0236/fadE4 (1093) MB3803/echA21 (1101) MB2238/dlat (1182) MB0249/fadA2 (1220) MB0791/aldA (1224) MB2362/cysK1 (1238) MB3737/leuA (1240) MB1162/prpc (1310) MB1893/adhA (1329) MB3813/rfbB (1453) MB0192/bglS (1474) MB3800/hisC2 (1492) MB1577/plsB1 (1503) MB0077/NA (1522) MB0981/purN (1533) MB1585/ilvA (1535) MB1898/NA (1576) MB0476/icl (1584) MB2698/echA15 (1610) MB1444/ribG (1736) MB0573/menH (1750) MB1625/hisD (1753) MB1153/gnd2 (1761) MB3493/rmlB1 (1767) MB2249/panB (1801) MB1272/mdh (1802) MB1631/hisF (1812) MB1020/galU (1834) MB3161/NA (1846) MB3308/accD5 (1848) MB1471/gap (1849) MB2271/accD6 (1858) MB0341/rmlA (1862) MB2268/acpM (1882) MB1632/hisI (1885) MB1635/trpE (1903) MB0795/purD (1905) MB1680/argC (1908) MB3057/NA (1916) MB1450/ribA2 (1919) MB0800/purB (1926) MB1521/hemZ (1932) MB1051/eno (1934) MB1451/ribH (1949) MB1629/hisA (1952) MB0976/sucC (1956) MB1687/argH (1960) MB1628/hisH (1970) MB1684/argF (1978) MB1639/trpA (1997) MB0523/hemC (2000) MB0570/menD (2013) MB1038/ispE (2014) MB3407/otsB2 (2021) MB1627/hisB (2022) MB0803/purC (2026) MB1686/argG (2030) MB0521/hemA (2031) MB1473/tpi (2067) MB0754/adk (2076) MB1637/trpC (2078) MB3313/accA3 (2088) MB3256/aroA (2098) MB0982/purH (2099) MB1427/metK (2107) MB0977/sucD (2110) MB1115/NA (2121) MB1683/argD (2136) MB0499/gpm1 (2140) MB0811/purS (2142) MB1682/argB (2151) MB1447/ribC (2152) MB1638/trpB (2154) MB1326/thrA (2161) MB0537/hemL (2179) MB1140/lytB2 (2180) MB0832/purM (2183) MB0524/hemD (2188) MB3780/tyrA (2190) MB3494/rmlC (2216) MB3058/NA (2219) MB2301/NA (2223) MB1643/pykA (2263) MB1681/argJ (2265) MB2721/ppgK (2290) MB3335/deoD (2306) MB0668/fabD2 (2323) MB1626/hisC1 (2327) MB2485/mmuM (2329) MB1327/thrC (2366) MB0831/purF (2422) MB1325/lysA (2426) MB2224/asnB (2432) MB0812/purQ (2437) MB1578/frdA (2455) MB0525/hemB (2459) MB3709/NA (2563) MB2855/echA16 (2589) MB1630/impA (2624) MB1975/ribA1 (2625) MB0826/purL (2657) MB1358/fadA4 (2663) MB2425/NA (2840) MB0920/gltA2 (2854) MB2511/echA14 (2891) MB3336/pmmB (2892) MB0511/proC (2904) MB0692/echA4 (2928) MB0883/fadB (2946) MB3347/sdhA (2988) MB3348/sdhB (3187) MB2265/aceE (3240) MB2498/aglA (3292) MB0131/treS (3323) MB0882/fadA (3333) MB3345/sdhC (3411) MB2267/fabD (3415) MB1486/ctaB (3437) MB3373/metA (3464) MB1580/frdD (3477) MB1328/thrB (3511) MB3251/NA (3526) MB2603/NA (3527) MB1316/cysD (3534) MB2316/NA (3538) MB3425/iunH (3545) MB1579/frdBC (3546) MB2768/arga (3593) MB3071/adhC (3667) MB1152/zwf1 (3677) MB1317/cysN (3862) MB3545/echA19 (3917) MB1123/glyA1 (3932) MB3346/sdhD (4008) MB3408/echA18 (4036)
mbo03440	Homologous recombination	7	1907.4	0.191187	0.980198	0.999100	MB2214/NA (394) MB0003/recF (938) MB1437/priA (1342) MB0002/dnaN (1690) MB1574/dnaE1 (2016) MB0055/ssb (3442) MB1655/polA (3530)
mbo00770	Pantothenate and CoA biosynthesis	7	1926.3	0.128034	1.009901	1.000000	MB0152/NA (778) MB0791/aldA (1224) MB1049/mazG (1384) MB2249/panB (1801) MB1426/dfp (1827) MB1657/coaE (2943) MB2603/NA (3527)
