# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/kegg_gene_terms.dat GSEA_files/kegg_term_names.dat output/gsea_kegg_slpv.txt -M GSEA -ranking SLPV -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11 -p 1
# date: 2023-08-18 12:19:58
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by SLPV
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 0 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 0 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
mbo00650	Butanoate metabolism	30	1733.7	0.458484	0.168317	0.745757	MB3408/echA18 (31) MB3346/sdhD (47) MB1579/frdBC (75) MB0477/fadB2 (172) MB3545/echA19 (197) MB0882/fadA (672) MB1580/frdD (746) MB3345/sdhC (842) MB3347/sdhA (882) MB3348/sdhB (925) MB2511/echA14 (948) MB0883/fadB (1020) MB0692/echA4 (1027) MB3581/NA (1061) MB1358/fadA4 (1349) MB1742/fadB3a (1390) MB2855/echA16 (1548) MB1578/frdA (1571) MB2698/echA15 (2448) MB1760/gabD2 (2467) MB1898/NA (2490) MB1507/echA12 (2926) MB3580/echA20 (3033) MB0249/fadA2 (3067) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491) MB2620/gabT (3505) MB3576/fadA5 (3750) MB3553/ltp3 (3763)
mbo02010	ABC transporters	39	1756.2	0.477060	0.055838	0.745757	MB0177/mce1C (6) MB1383/irta (7) MB0957/pstBa (96) MB0174/yrbE1B (152) MB0607/mce2Da (273) MB1269/sugB (415) MB1268/sugA (475) MB0960/pstC1 (487) MB1384/irtb (536) MB0609/lprL (537) MB1888/modA (539) MB0602/yrbE2A (553) MB0674/mkl (764) MB0951/pstS3 (783) MB0606/mce2C (853) MB0604/mce2A (857) MB0179/lprK (865) MB0603/yrbE2B (876) MB0961/pstA2 (890) MB0605/mce2B (1181) MB0175/mce1A (1709) MB0959/pstS1 (1737) MB3812/rfbD (1793) MB3810/rfbE (2030) MB1889/modB (2368) MB0180/mce1F (2680) MB1999/yrbE3A (2751) MB0178/mce1D (2832) MB0953/pstA1 (2966) MB0200/NA (3222) MB1270/sugC (3380) MB0958/pstBb (3424) MB0610/mce2F (3602) MB0952/pstC2 (3660) MB0176/mce1B (3674) MB0843/phoT (3794) MB1890/modC (3800) MB0173/yrbE1A (3937) MB1267/lpqY (3988)
mbo03020	RNA polymerase	3	1769.7	0.633592	0.277228	0.830363	MB0687/rpoC (1481) MB1425/rpoZ (1888) MB0686/rpoB (1940)
mbo02020	Two-component system	34	1787.1	0.468700	0.148515	0.745757	MB1579/frdBC (75) MB1058/kdpA (88) MB1910/glnA3 (90) MB1009/pepd (216) MB1194/narH (220) MB1007/mprA (329) MB0861/lpqR (569) MB0882/fadA (672) MB1580/frdD (746) MB0951/pstS3 (783) MB1119/celA2a (860) MB1193/narG (1060) MB3700/crp (1273) MB1060/kdpC (1299) MB1358/fadA4 (1349) MB1578/frdA (1571) MB0500/senX3 (1727) MB0959/pstS1 (1737) MB2244/glnA1 (2067) MB0001/dnaA (2104) MB1195/narJ (2320) MB2470/dctA (2352) MB1008/mprB (2377) MB1898/NA (2490) MB2258/ptpA (2840) MB1120/celA2b (2856) MB1059/kdpB (3007) MB0501/regX3 (3038) MB0249/fadA2 (3067) MB0063/celA1 (3109) MB2360/mez (3419) MB1196/narI (3539) MB3576/fadA5 (3750) MB3553/ltp3 (3763)
mbo00907	Pinene, camphor and geraniol degradation	13	1798.5	0.576586	0.128713	0.745757	MB3408/echA18 (31) MB3251/NA (142) MB3545/echA19 (197) MB2511/echA14 (948) MB0883/fadB (1020) MB0692/echA4 (1027) MB2855/echA16 (1548) MB2698/echA15 (2448) MB1507/echA12 (2926) MB3580/echA20 (3033) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491)
mbo00910	Nitrogen metabolism	10	1817.4	0.669653	0.052381	0.745757	MB1910/glnA3 (90) MB0258/nirB (213) MB1194/narH (220) MB1193/narG (1060) MB2244/glnA1 (2067) MB3301/NA (2332) MB0259/nirD (2531) MB0273/narU (2706) MB1315/canA (3416) MB1196/narI (3539)
mbo00061	Fatty acid biosynthesis	10	1830.7	0.520732	0.316832	0.830363	MB2210/fadD15 (199) MB1576/fadD11 (692) MB2267/fabD (786) MB0668/fabD2 (1722) MB3313/accA3 (1844) MB1124/desA2 (1962) MB2271/accD6 (2055) MB0412/pks6a (2408) MB1385/fabG2 (3245) MB0220/fadD4 (3394)
mbo00930	Caprolactam degradation	13	1841.7	0.463857	0.267327	0.824257	MB3408/echA18 (31) MB3545/echA19 (197) MB3111/lipR (704) MB2511/echA14 (948) MB0883/fadB (1020) MB0692/echA4 (1027) MB2855/echA16 (1548) MB2698/echA15 (2448) MB1507/echA12 (2926) MB3580/echA20 (3033) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491)
mbo00571	Lipoarabinomannan (LAM) biosynthesis	5	1842.6	0.586946	0.247525	0.808096	MB1190/pime (425) MB2196/mpta (1655) MB2203/NA (1708) MB3822/embC (2454) MB2692/aftc (2971)
mbo00401	Novobiocin biosynthesis	3	1853.0	0.426430	0.693069	0.917997	MB1626/hisC1 (1231) MB3780/tyrA (1780) MB3800/hisC2 (2548)
mbo01210	2-Oxocarboxylic acid metabolism	8	1859.8	0.352223	0.693069	0.917997	MB2768/arga (587) MB1681/argJ (1199) MB0920/gltA2 (1346) MB1680/argC (1794) MB1683/argD (2050) MB1682/argB (2052) MB1162/prpc (2622) MB3737/leuA (3228)
mbo00051	Fructose and mannose metabolism	3	1861.7	0.469321	0.623762	0.913463	MB3336/pmmB (987) MB1473/tpi (1920) MB0116/gca (2678)
mbo00660	C5-Branched dibasic acid metabolism	2	1866.0	0.528073	0.524752	0.910608	MB0977/sucD (1823) MB0976/sucC (1909)
mbo00561	Glycerolipid metabolism	15	1870.3	0.498799	0.188119	0.745757	MB3071/adhC (56) MB3406/NA (85) MB3115/tgs4 (202) MB0227/NA (278) MB2306/NA (401) MB0189/NA (586) MB1718/NA (1355) MB1460/NA (2371) MB3114/NA (2392) MB1577/plsB1 (2535) MB0791/aldA (2807) MB1791/NA (3312) MB2276/NA (3795) MB0152/NA (3889) MB0919/NA (3991)
mbo00740	Riboflavin metabolism	6	1883.0	0.611530	0.198020	0.755569	MB1975/ribA1 (1499) MB0314/NA (1570) MB1451/ribH (1842) MB1444/ribG (2086) MB1450/ribA2 (2097) MB1447/ribC (2204)
mbo00400	Phenylalanine, tyrosine and tryptophan biosynthesis	9	1896.4	0.425973	0.564356	0.910608	MB1626/hisC1 (1231) MB3780/tyrA (1780) MB1629/hisA (1796) MB1639/trpA (1806) MB3256/aroA (1889) MB1638/trpB (1892) MB1637/trpC (2062) MB1635/trpE (2064) MB3800/hisC2 (2548)
mbo00627	Aminobenzoate degradation	17	1908.6	0.451032	0.207921	0.755569	MB3408/echA18 (31) MB3545/echA19 (197) MB3110/NA (292) MB2384/amiA2 (505) MB2511/echA14 (948) MB0692/echA4 (1027) MB3105/hab (1164) MB2855/echA16 (1548) MB3409/amiD (1638) MB2698/echA15 (2448) MB1507/echA12 (2926) MB3200/NA (2982) MB3580/echA20 (3033) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491) MB1294/amiB2 (3648)
mbo01120	Microbial metabolism in diverse environments	126	1911.7	0.367568	0.089431	0.745757	MB1123/glyA1 (16) MB3408/echA18 (31) MB1317/cysN (46) MB3346/sdhD (47) MB3071/adhC (56) MB1579/frdBC (75) MB1910/glnA3 (90) MB2265/aceE (120) MB3251/NA (142) MB3289/fbiA (162) MB0477/fadB2 (172) MB1879/ureA (187) MB3545/echA19 (197) MB0258/nirB (213) MB1194/narH (220) MB1152/zwf1 (282) MB3110/NA (292) MB3602/kshb (311) MB2412/sira (328) MB2384/amiA2 (505) MB1880/ureB (530) MB3321/pcd (549) MB1316/cysD (606) MB0882/fadA (672) MB3111/lipR (704) MB1530/mutB (741) MB3591/fadD3 (745) MB1580/frdD (746) MB3345/sdhC (842) MB1848/NA (850) MB3347/sdhA (882) MB2318/NA (914) MB3348/sdhB (925) MB2511/echA14 (948) MB1881/ureC (998) MB0883/fadB (1020) MB0692/echA4 (1027) MB0525/hemB (1032) MB1193/narG (1060) MB3581/NA (1061) MB3311/sseA (1106) MB3144/cyp141 (1137) MB3105/hab (1164) MB1327/thrC (1220) MB0920/gltA2 (1346) MB1358/fadA4 (1349) MB1742/fadB3a (1390) MB3709/NA (1409) MB2413/cysH (1461) MB2855/echA16 (1548) MB1578/frdA (1571) MB1529/mutA (1632) MB3409/amiD (1638) MB1643/pykA (1725) MB2721/ppgK (1730) MB2301/NA (1761) MB1234/dapE (1798) MB1051/eno (1802) MB0977/sucD (1823) MB3308/accD5 (1824) MB3313/accA3 (1844) MB0499/gpm1 (1894) MB0976/sucC (1909) MB1473/tpi (1920) MB1272/mdh (1966) MB1326/thrA (1986) MB0523/hemC (1989) MB1683/argD (2050) MB2271/accD6 (2055) MB2244/glnA1 (2067) MB0537/hemL (2139) MB1471/gap (2140) MB0521/hemA (2165) MB0524/hemD (2182) MB1472/pgk (2184) MB1325/lysA (2262) MB1328/thrB (2285) MB2760/ephg (2345) MB2698/echA15 (2448) MB1760/gabD2 (2467) MB0794/NA (2470) MB2610/dhaA (2473) MB1898/NA (2490) MB0259/nirD (2531) MB0476/icl (2537) MB2314/sseB (2552) MB1162/prpc (2622) MB3007/cofC (2668) MB3567/kstd (2671) MB1786/NA (2691) MB1893/adhA (2702) MB2080/NA (2789) MB0791/aldA (2807) MB2362/cysK1 (2838) MB2363/cysE (2874) MB2238/dlat (2896) MB1153/gnd2 (2902) MB1557/adh (2925) MB1507/echA12 (2926) MB3556/ksha (2947) MB3290/fbiB (2959) MB3200/NA (2982) MB3580/echA20 (3033) MB0249/fadA2 (3067) MB2639/pdxH (3114) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491) MB2620/gabT (3505) MB1206/fbiC (3519) MB1196/narI (3539) MB0338/NA (3590) MB1294/amiB2 (3648) MB0416/pta (3703) MB0669/NA (3747) MB3576/fadA5 (3750) MB3553/ltp3 (3763) MB0467/NA (3824) MB3691/acs (3870) MB2787/NA (3872) MB0152/NA (3889) MB1443/rpe (3987) MB0217/pckA (3992) MB0417/ackA (4005) MB0471/lpd (4024) MB1950/aceA (4040)
mbo00230	Purine metabolism	29	1915.5	0.456042	0.188119	0.745757	MB1317/cysN (46) MB3669/NA (166) MB1879/ureA (187) MB3425/iunH (345) MB1880/ureB (530) MB1316/cysD (606) MB1881/ureC (998) MB0826/purL (1259) MB1376/NA (1403) MB0831/purF (1624) MB3335/deoD (1703) MB0795/purD (1816) MB0832/purM (1872) MB0811/purS (1919) MB1424/gmk (1984) MB0800/purB (2014) MB0754/adk (2035) MB0982/purH (2072) MB0803/purC (2162) MB0812/purQ (2258) MB0507/ppx1 (2415) MB0981/purN (2484) MB1049/mazG (2635) MB0238/nrdB (3219) MB0585/nrdZ (3328) MB1054/ppx2 (3413) MB0395/purT (3518) MB0828/NA (3618) MB1295/NA (3920)
mbo00190	Oxidative phosphorylation	36	1919.9	0.444765	0.128713	0.745757	MB3346/sdhD (47) MB1579/frdBC (75) MB3174/nuoF (143) MB3171/nuoC (268) MB3173/nuoE (519) MB3179/nuoK (525) MB3181/nuoM (645) MB1580/frdD (746) MB3345/sdhC (842) MB3347/sdhA (882) MB3348/sdhB (925) MB3169/nuoA (1034) MB3178/nuoJ (1518) MB1578/frdA (1571) MB1342/atpD (1965) MB1341/atpG (2033) MB1336/atpB (2115) MB1337/atpE (2155) MB2217/qcrC (2201) MB2216/ctaE (2216) MB1338/atpF (2221) MB1343/atpC (2227) MB1486/ctaB (2289) MB1339/atpH (2298) MB2219/qcrB (2574) MB3176/nuoH (2793) MB3182/nuoN (2814) MB1340/atpA (2879) MB2218/qcrA (2886) MB3652/ppa (2913) MB3008/ppk (2996) MB3177/nuoI (3386) MB3170/nuoB (3471) MB3172/nuoD (3575) MB3180/nuoL (3632) MB3175/nuoG (3737)
mbo01230	Biosynthesis of amino acids	54	1938.4	0.396497	0.108911	0.745757	MB1123/glyA1 (16) MB1910/glnA3 (90) MB2316/NA (333) MB3373/metA (481) MB2768/arga (587) MB0094/mtn (935) MB1681/argJ (1199) MB1327/thrC (1220) MB1626/hisC1 (1231) MB2224/asnB (1249) MB0920/gltA2 (1346) MB3709/NA (1409) MB1643/pykA (1725) MB3780/tyrA (1780) MB1680/argC (1794) MB1629/hisA (1796) MB1234/dapE (1798) MB1051/eno (1802) MB1639/trpA (1806) MB1627/hisB (1846) MB1631/hisF (1876) MB3256/aroA (1889) MB1638/trpB (1892) MB0499/gpm1 (1894) MB1473/tpi (1920) MB1625/hisD (1933) MB1326/thrA (1986) MB3161/NA (2018) MB1686/argG (2045) MB1683/argD (2050) MB1682/argB (2052) MB1637/trpC (2062) MB1635/trpE (2064) MB2244/glnA1 (2067) MB1684/argF (2110) MB1687/argH (2127) MB1471/gap (2140) MB1628/hisH (2158) MB1472/pgk (2184) MB1427/metK (2218) MB1632/hisI (2230) MB1325/lysA (2262) MB1328/thrB (2285) MB0511/proC (2308) MB3800/hisC2 (2548) MB1585/ilvA (2595) MB0077/NA (2600) MB1162/prpc (2622) MB2362/cysK1 (2838) MB2363/cysE (2874) MB3737/leuA (3228) MB1108/metB (3359) MB1106/cbs (3810) MB1443/rpe (3987)
mbo00250	Alanine, aspartate and glutamate metabolism	16	1944.6	0.361477	0.504950	0.910608	MB1910/glnA3 (90) MB1219/rocA (898) MB2224/asnB (1249) MB1621/nadB (1266) MB0831/purF (1624) MB1415/pyrB (1782) MB1419/carB (1807) MB1418/carA (1947) MB0800/purB (2014) MB1686/argG (2045) MB2244/glnA1 (2067) MB1687/argH (2127) MB0812/purQ (2258) MB1760/gabD2 (2467) MB2620/gabT (3505) MB2803/aldb (3967)
mbo00643	Styrene degradation	5	1966.8	0.250697	0.900990	0.943490	MB2384/amiA2 (505) MB3581/NA (1061) MB3409/amiD (1638) MB3200/NA (2982) MB1294/amiB2 (3648)
mbo03018	RNA degradation	6	1972.5	0.303005	0.792079	0.943490	MB1285/deaD (1007) MB1051/eno (1802) MB0358/dnaK (1835) MB0448/groEL2 (1907) MB1329/rho (2288) MB3008/ppk (2996)
mbo00970	Aminoacyl-tRNA biosynthesis	52	1996.1	0.493105	0.026066	0.745757	GLYU/NA (599) VALV/NA (919) MB1441/fmt (1396) LYST/NA (1795) TYRT/NA (1801) LEUU/NA (1811) GLUT/NA (1830) PROY/NA (1831) MB1715/tyrS (1852) PROT/NA (1854) PROU/NA (1858) METT/NA (1862) VALT/NA (1865) CYSU/NA (1873) GLNU/NA (1884) SERT/NA (1915) ILET/NA (1934) ARGT/NA (1967) ALAT/NA (1969) ARGV/NA (1977) HIST/NA (1990) MB1324/argS (2006) THRU/NA (2011) SERV/NA (2016) LEUW/NA (2039) MB1677/pheT (2043) THRT/NA (2048) METV/NA (2056) MB1563/ileS (2076) ALAU/NA (2081) TRPT/NA (2098) ARGU/NA (2106) MB1676/pheS (2113) ARGW/NA (2120) PHEU/NA (2129) LEUT/NA (2134) SERX/NA (2136) GLNT/NA (2146) LEUV/NA (2154) ASPT/NA (2166) GLYT/NA (2167) ASNT/NA (2169) METU/NA (2179) LYSU/NA (2186) THRV/NA (2189) SERU/NA (2214) GLUU/NA (2233) VALU/NA (2243) MB0042/leuS (2254) ALAV/NA (2274) LEUX/NA (2300) GLYV/NA (2930)
mbo00360	Phenylalanine metabolism	20	2007.3	0.413203	0.217822	0.755569	MB3408/echA18 (31) MB0477/fadB2 (172) MB3545/echA19 (197) MB2384/amiA2 (505) MB2511/echA14 (948) MB0692/echA4 (1027) MB1626/hisC1 (1231) MB1742/fadB3a (1390) MB2855/echA16 (1548) MB3409/amiD (1638) MB2698/echA15 (2448) MB3800/hisC2 (2548) MB1507/echA12 (2926) MB3200/NA (2982) MB3580/echA20 (3033) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491) MB1294/amiB2 (3648) MB3195/aofH (3814)
mbo00362	Benzoate degradation	21	2017.2	0.406148	0.346535	0.836203	MB3408/echA18 (31) MB0477/fadB2 (172) MB3545/echA19 (197) MB0882/fadA (672) MB2511/echA14 (948) MB0883/fadB (1020) MB0692/echA4 (1027) MB1358/fadA4 (1349) MB1742/fadB3a (1390) MB2855/echA16 (1548) MB2698/echA15 (2448) MB0794/NA (2470) MB1898/NA (2490) MB1507/echA12 (2926) MB3580/echA20 (3033) MB0249/fadA2 (3067) MB3803/echA21 (3247) MB0929/echA6 (3322) MB0694/echA5 (3491) MB3576/fadA5 (3750) MB3553/ltp3 (3763)
mbo00300	Lysine biosynthesis	4	2024.0	0.440980	0.594059	0.913463	MB1234/dapE (1798) MB1326/thrA (1986) MB1683/argD (2050) MB1325/lysA (2262)
mbo02024	Quorum sensing	10	2044.7	0.367023	0.554455	0.910608	MB2210/fadD15 (199) MB1576/fadD11 (692) MB3700/crp (1273) MB0657/secE1 (1810) MB1635/trpE (2064) MB1444/ribG (2086) MB1852/secA2 (2608) MB1475/secG (2811) MB0220/fadD4 (3394) MB0753/secY (3510)
mbo00541	O-Antigen nucleotide sugar biosynthesis	9	2045.7	0.331764	0.722772	0.932880	MB3336/pmmB (987) MB0330/udgA (1206) MB3493/rmlB1 (1979) MB0341/rmlA (2019) MB1020/galU (2053) MB3494/rmlC (2292) MB0513/galE2 (2492) MB0116/gca (2678) MB3813/rfbB (2705)
mbo03010	Ribosome	37	2057.4	0.251068	0.891089	0.943490	MB0653/rpmG2 (650) MB0056/rpsR1 (773) MB0671/rplL (1781) MB0702/rpsG (1785) MB0660/rplA (1805) MB1005/rpmF (1818) MB0741/rplR (1819) MB0720/rpsJ (1834) MB0737/rplE (1853) MB0670/rplJ (1886) MB0724/rplB (1887) MB0729/rpmC (1916) MB0725/rpsS (1926) MB0738/rpsN1 (1944) MB0727/rpsC (1976) MB0726/rplV (1985) MB1656/rpsA (1996) MB0721/rplC (1998) MB0740/rplF (2042) MB0736/rplX (2063) MB0728/rplP (2090) MB0730/rpsQ (2095) MB0659/rplK (2114) MB0739/rpsH (2135) MB1669/rpmI (2148) MB0722/rplD (2172) MB2435/rpsT (2174) MB1670/rplT (2185) MB0723/rplW (2195) MB0701/rpsL (2213) MB0735/rplN (2223) MB0742/rpsE (2240) MB0744/rplO (2276) MB0057/rplI (2353) MB0054/rpsF (2895) MB0743/rpmD (3200) MB1330/rpmE (3677)
mbo03030	DNA replication	6	2074.7	0.339649	0.792079	0.943490	MB1655/polA (310) MB0059/dnaB (1912) MB1574/dnaE1 (1958) MB0002/dnaN (1971) MB0055/ssb (2307) MB2214/NA (3990)
mbo01200	Carbon metabolism	53	2075.7	0.319939	0.415842	0.870914	MB1123/glyA1 (16) MB3346/sdhD (47) MB1579/frdBC (75) MB2265/aceE (120) MB0477/fadB2 (172) MB1152/zwf1 (282) MB0882/fadA (672) MB1530/mutB (741) MB1580/frdD (746) MB3345/sdhC (842) MB3347/sdhA (882) MB3348/sdhB (925) MB0883/fadB (1020) MB0920/gltA2 (1346) MB1358/fadA4 (1349) MB1742/fadB3a (1390) MB3709/NA (1409) MB1578/frdA (1571) MB1529/mutA (1632) MB1643/pykA (1725) MB2721/ppgK (1730) MB1051/eno (1802) MB0977/sucD (1823) MB3308/accD5 (1824) MB3313/accA3 (1844) MB0499/gpm1 (1894) MB0976/sucC (1909) MB1473/tpi (1920) MB1272/mdh (1966) MB2271/accD6 (2055) MB1471/gap (2140) MB1472/pgk (2184) MB1898/NA (2490) MB0476/icl (2537) MB1585/ilvA (2595) MB1162/prpc (2622) MB2362/cysK1 (2838) MB2363/cysE (2874) MB2238/dlat (2896) MB1153/gnd2 (2902) MB1857/gcvH (2955) MB0249/fadA2 (3067) MB2360/mez (3419) MB0416/pta (3703) MB0669/NA (3747) MB3576/fadA5 (3750) MB3553/ltp3 (3763) MB3691/acs (3870) MB1863/gcvB (3877) MB1443/rpe (3987) MB0417/ackA (4005) MB0471/lpd (4024) MB1950/aceA (4040)
mbo00572	Arabinogalactan biosynthesis	7	2081.0	0.493557	0.445545	0.883133	MB3823/embA (386) MB1334/rfe (1537) MB3811/glft1 (2141) MB3824/embB (2199) MB3808/NA (2350) MB2692/aftc (2971) MB3821/afta (2983)
mbo01240	Biosynthesis of cofactors	68	2082.8	0.218233	0.900990	0.943490	MB1123/glyA1 (16) MB1615/bioB (147) MB3289/fbiA (162) MB0033/bioF2 (314) MB1597/bioD (642) MB2603/NA (694) MB1596/bioF1 (796) MB1622/nadC (832) MB0013/trpG (837) MB2240/lipB (952) MB0525/hemB (1032) MB0888/moaC2 (1126) MB0330/udgA (1206) MB1657/coaE (1252) MB1621/nadB (1266) MB2092/cobI (1300) MB2241/lipA (1379) MB1975/ribA1 (1499) MB0314/NA (1570) MB2230/cobT (1620) MB1415/pyrB (1782) MB1521/hemZ (1797) MB0425/thiG (1803) MB1419/carB (1807) MB1416/pyrC (1817) MB1451/ribH (1842) MB1725/pyrG (1869) MB1721/ppnK (1879) MB1418/carA (1947) MB0523/hemC (1989) MB0800/purB (2014) MB0754/adk (2035) MB1020/galU (2053) MB2163/pyrD (2054) MB1444/ribG (2086) MB1450/ribA2 (2097) MB0423/thiO (2107) MB0570/menD (2121) MB2249/panB (2137) MB0537/hemL (2139) MB0521/hemA (2165) MB0524/hemD (2182) MB1447/ribC (2204) MB1427/metK (2218) MB1620/nadA (2231) MB1486/ctaB (2289) MB1426/dfp (2324) MB0412/pks6a (2408) MB3007/cofC (2668) MB0835/NA (2730) MB3136/moaA1 (2779) MB0791/aldA (2807) MB0573/menH (2861) MB1420/pyrF (2917) MB2091/cobH (3013) MB1239/folP2 (3069) MB2639/pdxH (3114) MB0568/menC (3162) MB2090/cobG (3169) MB1385/fabG2 (3245) MB0890/moaE2 (3490) MB2231/cobS (3546) MB3138/moaC1 (3640) MB1878/NA (3717) MB1021/moeA1 (3818) MB0152/NA (3889) MB1595/bioA (3934) MB0471/lpd (4024)
mbo00860	Porphyrin metabolism	15	2097.3	0.348187	0.633663	0.913463	MB3871/bfrB (463) MB1907/bfrA (719) MB0525/hemB (1032) MB2092/cobI (1300) MB2230/cobT (1620) MB1521/hemZ (1797) MB0523/hemC (1989) MB0537/hemL (2139) MB0521/hemA (2165) MB0524/hemD (2182) MB1486/ctaB (2289) MB2091/cobH (3013) MB2090/cobG (3169) MB2231/cobS (3546) MB0983/NA (4036)
